2026-06-02 14:30:32.745 [restartedMain] INFO  o.e.iocexam.afteraop.AopApplication - Starting AopApplication using Java 21.0.10 with PID 30348 (F:\14_java_study\saja_git\juns\iocExam\out\production\classes started by wnstj in F:\14_java_study\saja_git\juns\iocExam)
2026-06-02 14:30:32.746 [restartedMain] INFO  o.e.iocexam.afteraop.AopApplication - No active profile set, falling back to 1 default profile: "default"
2026-06-02 14:30:32.797 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2026-06-02 14:30:32.797 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2026-06-02 14:30:33.773 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2026-06-02 14:30:33.786 [restartedMain] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2026-06-02 14:30:33.787 [restartedMain] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2026-06-02 14:30:33.787 [restartedMain] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.54]
2026-06-02 14:30:33.828 [restartedMain] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2026-06-02 14:30:33.828 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1030 ms
2026-06-02 14:30:34.360 [restartedMain] INFO  o.s.b.d.a.OptionalLiveReloadServer - LiveReload server is running on port 35729
2026-06-02 14:30:34.374 [restartedMain] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2026-06-02 14:30:34.388 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path '/'
2026-06-02 14:30:34.395 [restartedMain] INFO  o.e.iocexam.afteraop.AopApplication - Started AopApplication in 2.188 seconds (process running for 2.836)
2026-06-02 14:30:34.406 [restartedMain] INFO  o.e.iocexam.afteraop.LoggerAspect - Logging started
2026-06-02 14:30:34.406 [restartedMain] INFO  o.e.iocexam.afteraop.LoggerAspect - Logging ok
2026-06-02 14:30:34.406 [restartedMain] INFO  o.e.i.afteraop.TransectionAspect - logging service??
2026-06-02 14:30:34.406 [restartedMain] INFO  o.e.iocexam.afteraop.AopService - testService
2026-06-02 17:02:39.120 [SpringApplicationShutdownHook] INFO  o.s.b.w.e.tomcat.GracefulShutdown - Commencing graceful shutdown. Waiting for active requests to complete
2026-06-02 17:02:39.129 [tomcat-shutdown] INFO  o.s.b.w.e.tomcat.GracefulShutdown - Graceful shutdown complete
